,topic,document
594,0,2-S2.0-85090060490
595,0,2-S2.0-85126049210
596,0,2-S2.0-85084150285
597,5,2-S2.0-85088689002
598,0,2-S2.0-85129915753
599,2,2-S2.0-85112785208
600,1,2-S2.0-85054063678
601,1,2-S2.0-85060375192
602,1,2-S2.0-85098865213
603,1,2-S2.0-85041614285
604,1,2-S2.0-85111999523
605,1,2-S2.0-85100487562
606,1,2-S2.0-85076230352
607,1,2-S2.0-85113839141
608,0,2-S2.0-85072856547
609,0,2-S2.0-85053240825
610,1,2-S2.0-85101565968
611,-1,2-S2.0-85111903831
612,-1,2-S2.0-85116678681
613,0,2-S2.0-85095115733
614,1,2-S2.0-85090971402
615,1,2-S2.0-85091677265
616,0,2-S2.0-85089975583
617,-1,2-S2.0-85112466941
618,1,2-S2.0-85089098391
619,-1,2-S2.0-85102278843
620,1,2-S2.0-85101377437
621,1,2-S2.0-85106276896
622,1,2-S2.0-85100795345
623,0,2-S2.0-85082195413
624,1,2-S2.0-85096386290
625,1,2-S2.0-85088958375
626,1,2-S2.0-85092756265
627,1,2-S2.0-85075871733
628,0,2-S2.0-85097546728
629,1,2-S2.0-85081021493
630,1,2-S2.0-85096491687
631,0,2-S2.0-85133750414
632,0,2-S2.0-85071977984
633,0,2-S2.0-85078941446
634,0,2-S2.0-85050074609
635,0,2-S2.0-85078122852
636,0,2-S2.0-85087220792
637,3,2-S2.0-85087562650
638,1,2-S2.0-85092899989
639,1,2-S2.0-85098556750
640,1,2-S2.0-85070487715
641,0,2-S2.0-85118225384
642,0,2-S2.0-85083669734
643,1,2-S2.0-85093928322
644,1,2-S2.0-85083563159
645,1,2-S2.0-85097002171
646,0,2-S2.0-85119619458
647,1,2-S2.0-85087077009
648,1,2-S2.0-85102279015
649,1,2-S2.0-85083368942
650,0,2-S2.0-85077376160
651,0,2-S2.0-85127321925
652,-1,2-S2.0-85062144895
653,0,2-S2.0-85118503202
654,1,2-S2.0-85095996930
655,0,2-S2.0-85090954735
656,1,2-S2.0-85062082599
657,1,2-S2.0-85111566911
658,0,2-S2.0-85119978800
659,1,2-S2.0-85075904823
660,4,2-S2.0-85098729733
661,0,2-S2.0-85128049297
662,1,2-S2.0-85100304105
663,1,2-S2.0-85075628508
664,0,2-S2.0-85116037376
665,1,2-S2.0-85102861561
666,0,2-S2.0-85101499309
667,1,2-S2.0-85078884854
668,4,2-S2.0-85095727186
669,1,2-S2.0-85132666396
670,1,2-S2.0-85060334232
671,1,2-S2.0-85074410588
672,-1,2-S2.0-85111997161
673,1,2-S2.0-85107326531
674,1,2-S2.0-85100756933
675,0,2-S2.0-85071854319
676,0,2-S2.0-85130124665
677,1,2-S2.0-85111434317
678,1,2-S2.0-85087002186
679,1,2-S2.0-85115102553
680,0,2-S2.0-85123069129
681,1,2-S2.0-85114399370
682,3,2-S2.0-85099665662
683,3,2-S2.0-85111972764
684,1,2-S2.0-85085284933
685,1,2-S2.0-85081200701
686,1,2-S2.0-85089003295
687,1,2-S2.0-85110589528
688,1,2-S2.0-85071662111
689,1,2-S2.0-85097542867
690,0,2-S2.0-84885666376
691,1,2-S2.0-85092748091
692,1,2-S2.0-85108329291
693,0,2-S2.0-85076424018
694,1,2-S2.0-85084434769
695,3,2-S2.0-85150515444
696,1,2-S2.0-85089085301
697,1,2-S2.0-85112464059
698,5,2-S2.0-85125240207
699,1,2-S2.0-85086789500
700,3,2-S2.0-85088694442
701,1,2-S2.0-85090415767
702,0,2-S2.0-85111813271
703,1,2-S2.0-85126609601
704,0,2-S2.0-85099522162
705,0,2-S2.0-85068046590
706,1,2-S2.0-84862145454
707,1,2-S2.0-85130941378
708,1,2-S2.0-85108141046
709,1,2-S2.0-85104134022
710,1,2-S2.0-85102518758
711,1,2-S2.0-85079154191
712,1,2-S2.0-85089290723
713,1,2-S2.0-85107522534
714,0,2-S2.0-85127353273
715,1,2-S2.0-85077157890
716,-1,2-S2.0-85068258414
717,1,2-S2.0-85105535274
718,0,2-S2.0-85110265219
719,1,2-S2.0-85117838949
720,0,2-S2.0-85091767168
721,1,2-S2.0-85071030992
722,1,2-S2.0-85060624916
723,0,2-S2.0-85099703079
724,0,2-S2.0-85077523091
725,1,2-S2.0-85093864025
726,1,2-S2.0-85088043085
727,4,2-S2.0-79955134112
728,3,2-S2.0-85114136088
729,0,2-S2.0-85106309806
730,4,2-S2.0-33847293900
731,0,2-S2.0-85030458529
732,1,2-S2.0-85114138710
733,3,2-S2.0-85111248450
734,0,2-S2.0-85100514020
735,4,2-S2.0-84880763417
736,3,2-S2.0-85081947500
737,0,2-S2.0-84960158116
738,1,2-S2.0-85129380203
739,1,2-S2.0-85085952920
740,-1,2-S2.0-85096386631
741,1,2-S2.0-85103873333
742,-1,2-S2.0-85049322091
743,1,2-S2.0-85052366515
744,1,2-S2.0-85082930961
745,4,2-S2.0-84946532441
746,-1,2-S2.0-85070918088
747,1,2-S2.0-85098736399
748,1,2-S2.0-85121006468
749,0,2-S2.0-85100446451
750,1,2-S2.0-85112505261
751,4,2-S2.0-84857645157
752,1,2-S2.0-85074471804
753,1,2-S2.0-85108972057
754,1,2-S2.0-85094197510
755,3,2-S2.0-85117217502
756,0,2-S2.0-85109602495
757,4,2-S2.0-84877692051
758,0,2-S2.0-85117368636
759,5,2-S2.0-85103841388
760,3,2-S2.0-85106276632
761,1,2-S2.0-85112007685
762,0,2-S2.0-85118104811
763,1,2-S2.0-85115210878
764,4,2-S2.0-84956623197
765,3,2-S2.0-85108154731
766,4,2-S2.0-70349979579
767,1,2-S2.0-85063957555
768,1,2-S2.0-85103972277
769,0,2-S2.0-85127403749
770,1,2-S2.0-85040922121
771,1,2-S2.0-85096085421
772,0,2-S2.0-85058637738
773,1,2-S2.0-85115049582
774,1,2-S2.0-85096837983
775,0,2-S2.0-85061027377
776,-1,2-S2.0-85102449056
777,0,2-S2.0-85101190742
778,3,2-S2.0-85149886538
779,-1,2-S2.0-85092895870
780,4,2-S2.0-27844524013
781,0,2-S2.0-85091993847
782,1,2-S2.0-85113315228
783,0,2-S2.0-85138988421
784,1,2-S2.0-85097469074
785,5,2-S2.0-85136955207
786,1,2-S2.0-85117099103
787,-1,2-S2.0-84873188432
788,1,2-S2.0-85091631950
789,1,2-S2.0-85084572031
790,4,2-S2.0-85075874161
791,1,2-S2.0-85086632164
792,0,2-S2.0-85115893594
793,3,2-S2.0-85099483182
794,1,2-S2.0-85110486414
795,3,2-S2.0-85113784170
796,0,2-S2.0-85094833658
797,0,2-S2.0-85111996376
798,3,2-S2.0-85110034669
799,0,2-S2.0-85079532677
800,3,2-S2.0-85082943298
801,4,2-S2.0-85046395489
802,1,2-S2.0-85099911034
803,0,2-S2.0-84871582791
804,0,2-S2.0-85124762136
